"species","lon","lat"
"Scinax ruber",-74.688583,3.312389
"Scinax ruber",-72.68169,4.45834
"Scinax ruber",-77.925916,-1.08211
"Scinax ruber",-73.635162,7.176564
"Scinax ruber",-73.592644,7.16285
"Scinax ruber",-73.544133,7.135553
"Scinax ruber",-73.595326,6.626837
"Scinax ruber",-76.093393,5.163507
"Scinax ruber",-73.299862,7.173333
"Scinax ruber",-73.739965,7.066998
"Scinax ruber",-73.471348,4.06147
"Scinax ruber",-78.066788,-1.40266
"Scinax ruber",-76.3708,1.4823
"Scinax ruber",-76.55802,1.29691
"Scinax ruber",-77.104528,7.997056
"Scinax ruber",-66.928842,-12.177385
"Scinax ruber",-73.698746,6.813894
"Scinax ruber",-73.168868,4.853573
"Scinax ruber",-60.260371,-3.039718
"Scinax ruber",-78.598969,-3.663899
"Scinax ruber",-77.840187,-1.617471
"Scinax ruber",-74.380305,5.069532
"Scinax ruber",-76.231174,4.900097
"Scinax ruber",-52.497938,4.826002
"Scinax ruber",-67.865719,-9.957011
"Scinax ruber",-74.830306,9.955035
"Scinax ruber",-66.992766,-13.293265
"Scinax ruber",-75.758993,5.804782
"Scinax ruber",-77.438043,-0.638907
"Scinax ruber",-61.29208,10.56515
"Scinax ruber",-61.380021,10.320658
"Scinax ruber",-53.103785,5.40612
"Scinax ruber",-55.021274,5.793341
"Scinax ruber",-73.657914,3.665059
"Scinax ruber",-72.91379,4.361452
"Scinax ruber",-72.959213,4.338923
"Scinax ruber",-72.807388,4.428341
"Scinax ruber",-72.799294,4.315417
"Scinax ruber",-72.80014,4.671545
"Scinax ruber",-72.901483,4.596495
"Scinax ruber",-72.625838,4.501879
"Scinax ruber",-73.46262,9.6567
"Scinax ruber",-73.060448,4.42371
"Scinax ruber",-73.056254,4.550793
"Scinax ruber",-73.067188,4.495957
"Scinax ruber",-73.032029,4.350395
"Scinax ruber",-73.45426,9.7131
"Scinax ruber",-54.031861,3.647279
"Scinax ruber",-77.485716,-0.131261
"Scinax ruber",-59.352903,3.661194
"Scinax ruber",-73.780512,3.542556
"Scinax ruber",-75.846652,6.846196
"Scinax ruber",-65.986626,-10.906709
"Scinax ruber",-69.476456,-12.125478
"Scinax ruber",-55.203914,5.423176
"Scinax ruber",-74.463014,4.632147
"Scinax ruber",-72.246247,-3.620572
"Scinax ruber",-77.806334,-0.828751
"Scinax ruber",-78.65943,-4.249851
"Scinax ruber",-77.526298,-1.064257
"Scinax ruber",-54.06626,5.32733
"Scinax ruber",-75.568382,6.266009
"Scinax ruber",-53.043924,5.070786
"Scinax ruber",-72.911056,-3.46956
"Scinax ruber",-75.33923,6.43435
"Scinax ruber",-75.38845,6.41744
"Scinax ruber",-75.44208,6.39232
"Scinax ruber",-74.79123,6.455236
"Scinax ruber",-74.006661,11.284975
"Scinax ruber",-75.33181,9.302916
"Scinax ruber",-75.454034,9.425648
"Scinax ruber",-75.393002,10.051346
"Scinax ruber",-77.71389,-1.041788
"Scinax ruber",-76.176823,-0.00592
"Scinax ruber",-54.441038,5.06734
"Scinax ruber",-77.877216,-0.94595
"Scinax ruber",-71.402646,-12.894241
"Scinax ruber",-75.646827,7.136691
"Scinax ruber",-73.971278,5.651444
"Scinax ruber",-77.086197,0.445121
"Scinax ruber",-75.118975,9.973987
"Scinax ruber",-72.578977,5.152205
"Scinax ruber",-70.582592,-12.487458
